iter	MAE	RMSE
1225	0.6020559322	0.7913619493
1230	0.6019940795	0.7913152225
1235	0.601935211	0.7912261265
1240	0.6018699242	0.7911704525
1245	0.6017726686	0.7910705395
1250	0.6017408633	0.7910343125
1255	0.6016662966	0.7909393959
1260	0.6016059973	0.7908629479
1265	0.6015624591	0.7908136069
1270	0.6014895276	0.7907149155
1275	0.6014723168	0.7906775088
1280	0.6014448448	0.7906356278
1285	0.60138986	0.7905967437
1290	0.6013594447	0.7905588401
1295	0.6013209349	0.7905079287
1300	0.6012852867	0.7904765372
1305	0.6012263774	0.7903984152
1310	0.6011753172	0.790331717
1315	0.6011097851	0.7902583141
1320	0.6010902032	0.7902333535
1325	0.6010647753	0.790189664
1330	0.6010087276	0.7901268287
1335	0.6009380037	0.7900607286
1340	0.6008789308	0.7899747771
1345	0.6008589809	0.7899402077
1350	0.6007553479	0.7898406049
1355	0.6006976649	0.7898032603
1360	0.6006199913	0.7897342342
1365	0.6005587926	0.7896703791
1370	0.6005343867	0.7896380483
1375	0.6004938329	0.7895986232
1380	0.6004645213	0.7895451127
1385	0.6004318983	0.7894991586
1390	0.6003676336	0.7894192827
1395	0.6003218879	0.7893648278
1400	0.6002276575	0.7892575125
1405	0.600154358	0.7891929454
1410	0.6001098388	0.7891246948
1415	0.6000595553	0.7890881193
1420	0.5999755859	0.789016466
1425	0.5999230949	0.7889433293
1430	0.5998678239	0.7888946973
1435	0.5997982038	0.7887956104
1440	0.5997527034	0.7887433671
1445	0.59969964	0.7886645291
1450	0.5996398313	0.7885830653
1455	0.5996211078	0.7885593995
1460	0.5995808401	0.7885124029
1465	0.5995478493	0.788474477
1470	0.5995021853	0.7884207346
1475	0.5994734461	0.7883655107
1480	0.5994281501	0.7883194878
1485	0.5993907032	0.7882758998
1490	0.599369486	0.7882375475
1495	0.5993247623	0.7881933325
1500	0.5993031772	0.7881672173
1505	0.5992951645	0.788156273
1510	0.5992618466	0.7881146989
1515	0.5992248494	0.7880689467
1520	0.5991873617	0.7880396888
1525	0.5991390405	0.7879694965
1530	0.5991125088	0.7879284314
1535	0.5990877758	0.7878848476
1540	0.5990587504	0.7878418322
1545	0.599033486	0.7877983993
1550	0.5989977561	0.787756495
1555	0.5989055697	0.7876446786
1560	0.59888145	0.7876010791
1565	0.5988201696	0.7875521306
1570	0.5987585621	0.7874907461
1575	0.5986998163	0.7874477351
1580	0.5986802752	0.787435405
1585	0.5986449132	0.7873790996
1590	0.5986091834	0.7873427027
